episode_idx,total_reward,step_count,success,crash,timeout,elapsed_time_sec
0,-100.95901508594464,100,0,1,0,0.39792728424072266
1,-138.84049487416365,97,0,1,0,0.11705422401428223
2,-406.3420791168383,77,0,1,0,0.5055587291717529
3,-114.45387556078273,108,0,1,0,0.1300642490386963
4,-367.52677688974404,87,0,1,0,0.11583471298217773
5,-566.2622546412729,125,0,1,0,0.3931899070739746
6,-242.49458848469487,76,0,1,0,0.10754108428955078
7,-140.50785980478784,111,0,1,0,0.36391663551330566
8,-219.00284783301186,84,0,1,0,0.13605260848999023
9,-91.78383322067458,89,0,1,0,0.1165456771850586
10,-428.5036623478206,93,0,1,0,0.3396792411804199
11,-244.23045633819885,94,0,1,0,0.10853242874145508
12,-182.64749765604307,77,0,1,0,0.09138226509094238
13,-111.56185149987544,67,0,1,0,0.2705998420715332
14,-128.67477536232454,94,0,1,0,0.10971736907958984
15,-114.45179594041556,85,0,1,0,0.10047268867492676
16,-113.15562099297647,62,0,1,0,0.07083320617675781
17,-124.75174023148881,67,0,1,0,0.2771315574645996
18,-125.57954591944758,67,0,1,0,0.07953262329101562
19,-205.63192565853413,78,0,1,0,0.0954139232635498
20,-164.78153268097003,100,0,1,0,0.31295180320739746
21,-187.4121772631247,105,0,1,0,0.12316274642944336
22,-339.2538807809723,95,0,1,0,0.11003303527832031
23,-128.15419681007992,84,0,1,0,0.29000020027160645
24,-112.29561563069922,87,0,1,0,0.10456705093383789
25,-118.36834648552168,69,0,1,0,0.07979679107666016
26,-117.27634061503684,78,0,1,0,0.29343366622924805
27,-392.26567670657494,111,0,1,0,0.13153624534606934
28,-166.8840809273572,68,0,1,0,0.0774846076965332
29,-284.1824112597847,108,0,1,0,0.32842588424682617
30,-235.83734093078922,95,0,1,0,0.11011052131652832
31,-148.1381754514552,105,0,1,0,0.31972503662109375
32,-98.74997932012269,85,0,1,0,0.09700369834899902
33,-255.24303983191803,112,0,1,0,0.13106250762939453
34,-268.87308313686185,143,0,1,0,0.35927462577819824
35,-93.7334009046214,87,0,1,0,0.10106348991394043
36,-201.5969276889801,133,0,1,0,0.3524594306945801
37,-45.114680783183985,107,0,1,0,0.1282045841217041
38,-5.221376799131946,128,0,1,0,0.34717893600463867
39,-386.4304562520832,87,0,1,0,0.0985417366027832
40,-132.4364253451372,90,0,1,0,0.10842370986938477
41,-196.60560989798415,84,0,1,0,0.2959768772125244
42,-110.69886731606059,86,0,1,0,0.10153889656066895
43,-118.3333528034513,78,0,1,0,0.09005165100097656
44,-95.7299194500778,89,0,1,0,0.31432437896728516
45,-178.5762319994377,67,0,1,0,0.07654118537902832
46,-49.101683172560385,76,0,1,0,0.08756351470947266
47,-102.83447844519169,95,0,1,0,0.31546831130981445
48,-74.01374297505771,66,0,1,0,0.08107209205627441
49,-154.67143893415044,106,0,1,0,0.12380361557006836
50,-86.86276887317554,77,0,1,0,0.30498194694519043
51,-109.80156266127003,126,0,1,0,0.14610743522644043
52,-98.00067168724121,80,0,1,0,0.09729504585266113
53,-63.23346160721549,116,0,1,0,0.33936595916748047
54,-54.09820230382729,91,0,1,0,0.10655760765075684
55,-116.53063435882848,89,0,1,0,0.3033432960510254
56,-256.9160071286466,124,0,1,0,0.15123820304870605
57,-193.01785174251484,83,0,1,0,0.0992882251739502
58,-287.3403602139552,155,0,1,0,0.38161754608154297
59,-67.11025831958513,128,0,1,0,0.14853286743164062
60,-154.74216931499467,83,0,1,0,0.29992151260375977
61,-119.59837223529765,84,0,1,0,0.10463953018188477
62,-91.45409381432559,152,0,1,0,0.4129621982574463
63,-89.80764183109966,78,0,1,0,0.09613156318664551
64,-89.79979936940735,140,0,1,0,0.3983023166656494
65,-115.92970941142951,96,0,1,0,0.11696791648864746
66,-83.90960595103114,144,0,1,0,0.40215015411376953
67,-98.96807818623843,76,0,1,0,0.0952913761138916
68,-101.13083163184073,107,0,1,0,0.13158130645751953
69,-103.99336645161542,95,0,1,0,0.33765554428100586
70,-138.71635917369247,144,0,1,0,0.17489385604858398
71,-78.50277022484408,81,0,1,0,0.10206747055053711
72,-61.63552682048171,74,0,1,0,0.30564117431640625
73,-65.67346368356789,99,0,1,0,0.1207582950592041
74,-107.90487751829329,115,0,1,0,0.33595752716064453
75,-81.544324370753,155,0,1,0,0.17734122276306152
76,-26.104454797907138,123,0,1,0,0.35852861404418945
77,-73.66287874064453,104,0,1,0,0.12707304954528809
78,-66.28650938845402,187,0,1,0,0.538386344909668
79,-39.75068603673155,90,0,1,0,0.12663960456848145
80,-5.885789132383167,93,0,1,0,0.43433213233947754
81,-103.02526738672137,156,0,1,0,0.23177289962768555
82,-180.8492673466065,151,0,1,0,0.5007057189941406
83,-41.382735296663085,161,0,1,0,0.24062466621398926
84,-67.41905488626675,172,0,1,0,0.47443246841430664
85,-189.80592954225108,340,0,1,0,0.6330676078796387
86,22.103904992394874,137,0,1,0,0.39010047912597656
87,34.248308122921486,94,0,1,0,0.1145625114440918
88,-49.89348061585015,155,0,1,0,0.4297513961791992
89,-468.95710804878263,256,0,1,0,0.5560770034790039
90,-83.31831977482311,112,0,1,0,0.14459657669067383
91,-252.3351206413719,217,0,1,0,0.49881744384765625
92,-98.75058555713575,1000,0,0,1,2.13928484916687
93,-18.743221022690932,193,0,1,0,0.49469828605651855
94,-30.56253574036721,94,0,1,0,0.1250627040863037
95,-36.76572848807693,291,0,1,0,0.659991979598999
96,-95.9516910792622,1000,0,0,1,2.0073130130767822
97,10.735429461736945,1000,0,0,1,1.8722155094146729
98,-5.743463282734832,1000,0,0,1,1.9400444030761719
99,-276.1878136910765,250,0,1,0,0.5024862289428711
100,36.74047870242072,1000,0,0,1,2.2073333263397217
101,31.79481803954006,1000,0,0,1,1.9435856342315674
102,45.289377618260005,1000,0,0,1,1.9103426933288574
103,73.17719070314683,1000,0,0,1,1.9487898349761963
104,6.471822741072799,167,0,1,0,0.18813776969909668
105,70.97422245096055,1000,0,0,1,1.955132007598877
106,64.25809023985722,1000,0,0,1,1.952357292175293
107,132.48585398849445,1000,0,0,1,1.9669058322906494
108,112.48788677920498,1000,0,0,1,1.922856092453003
109,106.76356380559265,1000,0,0,1,1.9302892684936523
110,221.09737914075413,871,1,0,0,1.5840930938720703
111,28.94258918508592,136,0,1,0,0.3561079502105713
112,34.98148324089334,134,0,1,0,0.15837740898132324
113,19.829557976301558,158,0,1,0,0.3847165107727051
