episode_idx,total_reward,step_count,success,crash,timeout,elapsed_time_sec
0,-125.38192845751347,107,0,1,0,0.40692996978759766
1,-49.894037569287825,69,0,1,0,0.07954096794128418
2,-320.67155749263713,117,0,1,0,0.5545773506164551
3,-241.84899670692613,75,0,1,0,0.09055876731872559
4,-126.71770187630588,67,0,1,0,0.08228707313537598
5,-254.0544630847373,76,0,1,0,0.10649824142456055
6,-99.73642329215842,68,0,1,0,0.3157367706298828
7,-164.91383414247616,87,0,1,0,0.1210474967956543
8,-366.6275217471849,87,0,1,0,0.1190493106842041
9,-85.38725755572503,94,0,1,0,0.36541223526000977
10,-168.90126626451075,86,0,1,0,0.11104106903076172
11,-107.55808289207172,65,0,1,0,0.08703279495239258
12,-460.7984474087062,103,0,1,0,0.34117650985717773
13,-325.2615258259565,101,0,1,0,0.12004470825195312
14,-82.81430900466233,65,0,1,0,0.07687520980834961
15,-103.88139816461826,77,0,1,0,0.28209686279296875
16,-140.1456163336518,85,0,1,0,0.10071182250976562
17,-90.51917910864812,57,0,1,0,0.06502866744995117
18,-291.98521604563393,93,0,1,0,0.30887269973754883
19,-131.59112277502095,65,0,1,0,0.07403802871704102
20,-96.63561340541045,99,0,1,0,0.12442255020141602
21,-103.51794596172357,98,0,1,0,0.3104555606842041
22,-61.23472656136757,62,0,1,0,0.07163238525390625
23,-114.02622094578018,84,0,1,0,0.09724092483520508
24,-295.7683019984372,75,0,1,0,0.282991886138916
25,-235.0578277272235,72,0,1,0,0.08155536651611328
26,-199.30522448248354,108,0,1,0,0.12917160987854004
27,-127.72905999231556,138,0,1,0,0.36296844482421875
28,-108.49150782517232,71,0,1,0,0.08353924751281738
29,-153.1998177574106,103,0,1,0,0.11998796463012695
30,-345.8382049710626,104,0,1,0,0.32442307472229004
31,-125.50882052396939,111,0,1,0,0.1319117546081543
32,-79.85964148077076,134,0,1,0,0.34743189811706543
33,-304.4809978372498,96,0,1,0,0.1120147705078125
34,-77.2879070455975,69,0,1,0,0.0825347900390625
35,-186.25352675269644,125,0,1,0,0.3352689743041992
36,-111.44828592512962,87,0,1,0,0.10155701637268066
37,-128.1678263750523,108,0,1,0,0.3194468021392822
38,-148.68988459456736,73,0,1,0,0.08854985237121582
39,-320.90690851939394,98,0,1,0,0.11671066284179688
40,-120.01031309137153,90,0,1,0,0.303652286529541
41,-218.27742597145885,85,0,1,0,0.09653782844543457
42,-62.72963780341652,60,0,1,0,0.07304143905639648
43,-190.82800049129148,107,0,1,0,0.32485198974609375
44,-190.46390206664415,61,0,1,0,0.06902956962585449
45,-308.6913138036261,116,0,1,0,0.13508009910583496
46,-58.350175719972185,67,0,1,0,0.2898111343383789
47,-131.97171705869255,68,0,1,0,0.07604074478149414
48,-213.40974611205283,86,0,1,0,0.102569580078125
49,-148.71643755963288,95,0,1,0,0.31546998023986816
50,-195.31297274554245,93,0,1,0,0.1134335994720459
51,-505.0594064679925,134,0,1,0,0.36675500869750977
52,-189.43498323662666,110,0,1,0,0.13056063652038574
53,-113.27507028010845,78,0,1,0,0.09207439422607422
54,-121.01834689488292,108,0,1,0,0.3341042995452881
