episode_idx,total_reward,step_count,success,crash,timeout,elapsed_time_sec
0,-370.5702005720056,109,0,1,0,0.4099299907684326
1,-201.38446883491122,104,0,1,0,0.12305879592895508
2,-124.32861210144054,106,0,1,0,0.5380764007568359
3,-210.7998486877355,77,0,1,0,0.09412980079650879
4,-104.45593969312455,75,0,1,0,0.10174870491027832
5,-154.36064519296124,66,0,1,0,0.30816197395324707
6,-294.4794011399895,106,0,1,0,0.14855337142944336
7,-294.3518861580835,91,0,1,0,0.12954401969909668
8,-31.190383737631976,66,0,1,0,0.31090211868286133
9,-295.61077926959877,87,0,1,0,0.13055753707885742
10,-402.9983040667089,87,0,1,0,0.11504125595092773
11,-146.0888291709979,67,0,1,0,0.3006572723388672
12,-147.7691941421699,94,0,1,0,0.11003541946411133
13,-127.86543103538003,61,0,1,0,0.070526123046875
14,-203.44816932445417,68,0,1,0,0.08138012886047363
15,-129.517597180655,84,0,1,0,0.2921004295349121
16,-129.33595722324193,72,0,1,0,0.08352971076965332
17,-131.56949292396462,121,0,1,0,0.3388786315917969
18,-209.3170664471177,69,0,1,0,0.08304429054260254
19,-124.00356031907579,98,0,1,0,0.1136622428894043
20,-324.6343949994958,97,0,1,0,0.31269407272338867
21,-194.64401102389158,65,0,1,0,0.07856392860412598
22,-273.88823995679707,78,0,1,0,0.09163022041320801
23,-106.42745531612273,65,0,1,0,0.07252168655395508
24,-102.91104659272423,73,0,1,0,0.2824819087982178
25,-146.9368349310392,88,0,1,0,0.10307097434997559
26,-65.31521007079937,67,0,1,0,0.07806968688964844
27,-117.81242708100146,116,0,1,0,0.33968400955200195
28,-140.13613892592252,116,0,1,0,0.13735437393188477
29,-127.83254349980898,105,0,1,0,0.3274874687194824
30,-397.93579062758783,93,0,1,0,0.1055898666381836
31,-166.1598211640871,79,0,1,0,0.08808159828186035
32,99.45403319876978,1000,0,0,1,1.9600481986999512
33,-84.3758961909073,61,0,1,0,0.0697944164276123
34,-100.42332497815592,68,0,1,0,0.2785661220550537
35,-233.5090459322366,110,0,1,0,0.13205480575561523
36,-116.61870203279241,124,0,1,0,0.3503580093383789
37,-80.78414030409238,83,0,1,0,0.09655237197875977
38,-92.93396841582859,81,0,1,0,0.09556698799133301
39,-119.04226275627812,118,0,1,0,0.34601426124572754
40,-254.3811043597496,150,0,1,0,0.17720651626586914
41,-120.94856278037115,82,0,1,0,0.3099846839904785
42,-141.05774966164532,109,0,1,0,0.12706780433654785
43,-99.99327973684827,96,0,1,0,0.11533331871032715
44,-66.80438410850525,68,0,1,0,0.2841503620147705
45,-103.31276982186164,73,0,1,0,0.08323478698730469
46,-258.1927942677112,110,0,1,0,0.13058042526245117
47,-209.6671273280329,93,0,1,0,0.30798983573913574
48,-108.41197903031572,74,0,1,0,0.09005260467529297
49,-198.36063987532583,107,0,1,0,0.1303098201751709
50,-106.2626046621089,91,0,1,0,0.3055729866027832
51,-104.32768995576856,132,0,1,0,0.15058112144470215
52,-76.98682778936549,93,0,1,0,0.31179356575012207
53,-62.270215170166125,69,0,1,0,0.08722209930419922
54,6.960693183637659,92,0,1,0,0.11477017402648926
55,-125.43579560809084,89,0,1,0,0.3309626579284668
56,-102.64418446311112,113,0,1,0,0.1441493034362793
57,-108.94682525973982,121,0,1,0,0.36928606033325195
58,-11.43781375765272,161,0,1,0,0.2037959098815918
59,-211.65253829156507,108,0,1,0,0.35634326934814453
60,-148.22983791969094,150,0,1,0,0.1833510398864746
61,-158.737714960301,103,0,1,0,0.34816575050354004
62,-20.481757998659432,85,0,1,0,0.10432767868041992
63,-40.9293374586496,91,0,1,0,0.10907673835754395
64,-84.94414951108658,97,0,1,0,0.3376030921936035
65,-98.74357906537998,109,0,1,0,0.1333470344543457
66,-44.114387123388944,134,0,1,0,0.3579552173614502
67,-71.07865495847878,86,0,1,0,0.10129547119140625
68,-13.818085805643292,129,0,1,0,0.1455831527709961
69,-1.7301622247857011,94,0,1,0,0.32750749588012695
70,-230.6289405121468,114,0,1,0,0.15207624435424805
71,-45.60181858135459,204,0,1,0,0.5538973808288574
72,-109.57520130079857,216,0,1,0,0.6175210475921631
73,-77.17973858782761,101,0,1,0,0.15793466567993164
74,-46.29219403859692,144,0,1,0,0.4858245849609375
75,-73.86730796108716,74,0,1,0,0.11069607734680176
76,17.185917437159787,195,0,1,0,0.5092461109161377
77,-34.13773688438256,132,0,1,0,0.17400670051574707
78,-85.88263513589762,163,0,1,0,0.41377997398376465
79,-86.66794726097805,218,0,1,0,0.48163914680480957
80,-32.04013789774754,163,0,1,0,0.43999171257019043
81,-17.744142873924076,199,0,1,0,0.2576122283935547
82,-5.70655906913845,237,0,1,0,0.5298659801483154
83,-67.82337749536443,1000,0,0,1,2.1346278190612793
84,6.416759725642606,159,0,1,0,0.41246557235717773
85,-54.39461785846153,151,0,1,0,0.2280869483947754
86,-51.05320129403033,122,0,1,0,0.38414525985717773
87,-46.86143448797389,114,0,1,0,0.15015220642089844
88,-68.9426245591319,1000,0,0,1,2.148848056793213
89,-24.32929527338484,1000,0,0,1,1.8715384006500244
90,38.819584577589154,273,0,1,0,0.4965524673461914
91,-248.68431648856398,406,0,1,0,0.8320822715759277
92,-21.321517215810317,162,0,1,0,0.17897725105285645
93,-66.29160268083544,170,0,1,0,0.4044466018676758
94,15.794288058924224,202,0,1,0,0.4502298831939697
95,-23.501941394265643,139,0,1,0,0.16835522651672363
96,-219.99148436372306,232,0,1,0,0.4730088710784912
97,-226.90332406408774,243,0,1,0,0.46641016006469727
98,10.500780562388636,1000,0,0,1,2.2468972206115723
99,8.501814602821895,146,0,1,0,0.3651576042175293
100,29.21450485518304,1000,0,0,1,1.9047975540161133
101,-28.764405653649106,146,0,1,0,0.161574125289917
102,22.358276658212816,151,0,1,0,0.36690807342529297
103,47.75357010914712,1000,0,0,1,1.9397337436676025
104,41.59770127522475,199,0,1,0,0.22171545028686523
105,73.4318957939473,1000,0,0,1,1.9247815608978271
106,32.1386049004054,141,0,1,0,0.38169169425964355
107,0.374914039504759,107,0,1,0,0.13312602043151855
108,-77.54024754017479,185,0,1,0,0.4158968925476074
109,27.850013182991148,190,0,1,0,0.41631484031677246
110,62.861137638207055,1000,0,0,1,1.9615356922149658
111,26.985345244029958,190,0,1,0,0.21545028686523438
112,-103.23162521901183,298,0,1,0,0.746967077255249
113,7.114994800523803,159,0,1,0,0.1820838451385498
114,117.00750062352311,1000,0,0,1,1.9228525161743164
115,102.31014090499734,1000,0,0,1,1.930302619934082
116,239.79154496107716,388,1,0,0,0.8324997425079346
117,156.9670183958294,659,0,1,0,1.154212236404419
118,243.199968020997,623,1,0,0,1.3227312564849854
119,-1.1968680363999482,232,0,1,0,0.26416587829589844
120,269.1080000042946,272,1,0,0,0.7186617851257324
121,20.783421079521162,149,0,1,0,0.17883610725402832
122,289.6345192501832,257,1,0,0,0.4987611770629883
123,240.75096199905556,276,1,0,0,0.5268933773040771
124,18.488353107973452,143,0,1,0,0.36905694007873535
125,227.51935074366205,281,1,0,0,0.5352523326873779
126,-19.776032233479782,141,0,1,0,0.1641383171081543
127,-33.48344925712428,133,0,1,0,0.3613150119781494
128,279.1402650625397,264,1,0,0,0.5112593173980713
129,40.70543250318434,142,0,1,0,0.3651590347290039
130,231.55603535438053,320,1,0,0,0.566709041595459
131,295.1446783596125,294,1,0,0,0.5399231910705566
132,283.3756287166067,218,1,0,0,0.44599437713623047
133,30.912301688377113,189,0,1,0,0.4185657501220703
134,298.5568219980592,320,1,0,0,0.5672869682312012
135,281.85404533065565,254,1,0,0,0.5038940906524658
136,291.51021879859,455,1,0,0,0.9210350513458252
137,153.61647716336512,832,0,1,0,1.5533323287963867
138,274.35560714622443,265,1,0,0,0.5032072067260742
139,213.07570359800314,795,1,0,0,1.515148401260376
