episode_idx,total_reward,step_count,success,crash,timeout,elapsed_time_sec
0,-150.03921591474258,71,0,1,0,0.3554060459136963
1,-118.5285528434713,90,0,1,0,0.11205697059631348
2,-26.055173447220085,104,0,1,0,0.5387845039367676
3,-106.55295223577545,90,0,1,0,0.10706663131713867
4,-107.91195321998993,87,0,1,0,0.1123049259185791
5,-496.0138071935707,98,0,1,0,0.35471320152282715
6,-497.79362344481007,90,0,1,0,0.12353730201721191
7,-145.88102998337683,59,0,1,0,0.08553242683410645
8,-242.88156570864106,78,0,1,0,0.106536865234375
9,-86.8731736626033,64,0,1,0,0.3159008026123047
10,-418.97949898937867,81,0,1,0,0.11354207992553711
11,-125.93789235688767,130,0,1,0,0.387692928314209
12,-103.95715705425906,76,0,1,0,0.08753371238708496
13,-246.93055578657678,97,0,1,0,0.11488723754882812
14,-126.02084449104774,70,0,1,0,0.2765340805053711
15,-2.5346916617434943,63,0,1,0,0.07302498817443848
16,2.432798044484329,102,0,1,0,0.12196540832519531
17,-228.47042415042836,96,0,1,0,0.30960536003112793
18,-131.17504254414652,106,0,1,0,0.12455630302429199
19,-125.46499225761266,65,0,1,0,0.0771481990814209
20,-142.03228296293813,102,0,1,0,0.3172166347503662
21,-332.3306712807117,102,0,1,0,0.1194448471069336
22,-199.4018605215295,123,0,1,0,0.14576101303100586
23,-117.12322459297576,93,0,1,0,0.30202174186706543
24,-246.75597988045826,86,0,1,0,0.10054826736450195
25,-167.12946272861953,95,0,1,0,0.3102095127105713
26,-114.94765477374123,94,0,1,0,0.11554932594299316
27,-109.11437897482702,88,0,1,0,0.10448551177978516
28,-142.88786291040867,67,0,1,0,0.28235363960266113
29,24.106582039784016,111,0,1,0,0.12911295890808105
30,-159.52838087754162,73,0,1,0,0.08057999610900879
31,-77.6525707287191,54,0,1,0,0.06333255767822266
32,-78.97961932888359,138,0,1,0,0.3548877239227295
33,-52.07626608746299,124,0,1,0,0.14457464218139648
34,-424.07752690691353,105,0,1,0,0.31275510787963867
35,-133.2947209378782,88,0,1,0,0.10256123542785645
36,-118.32904470481577,79,0,1,0,0.2899348735809326
37,-115.92809558001788,88,0,1,0,0.10254883766174316
38,-96.2865686088422,81,0,1,0,0.09668803215026855
39,-110.92529989516319,73,0,1,0,0.08605837821960449
40,-223.43740350939905,99,0,1,0,0.3126516342163086
41,-100.83150473902131,54,0,1,0,0.06152009963989258
42,-256.35941802770753,129,0,1,0,0.3498718738555908
43,-115.3106969315173,90,0,1,0,0.10353946685791016
44,-239.97011150174365,92,0,1,0,0.10807108879089355
