category_main,count,ratio,avg_reward,avg_steps
success,99486,0.99486,287.1744926059816,161.65341857145728
unstable_attitude,412,0.00412,139.73512979073723,658.5388349514564
oscillating_control,59,0.00059,189.4293213311578,1000.0
poor_terminal_control,28,0.00028,18.976673242199716,96.53571428571429
late_stage_fail,9,9e-05,193.76081749903847,1000.0
fuel_waste,6,6e-05,55.446417166706816,98.66666666666667
